file,top_k,omp_sparsity,omp_selected_count,omp_support_grid_indices,omp_residual_norm,optimal_rss,beamformer_top1_rss,omp_rss,beamformer_top1_gain_ratio_to_optimal,omp_gain_ratio_to_optimal,optimal_gain_loss_to_optimal_db,beamformer_top1_gain_loss_to_optimal_db,omp_gain_loss_to_optimal_db,omp_gain_loss_minus_beamformer_top1_gain_loss_db,beamformer_top1_similarity_to_optimal,omp_similarity_to_optimal,beamformer_top1_index,beamformer_top1_phi_index,beamformer_top1_theta_index,beamformer_top1_phi_deg,beamformer_top1_theta_deg
seed1005-epoch36-64.mat,10,10,10,1473 1453 1456 1475 1472 1476 1455 1452 1474 1454,0.34072065959388775,1.7179939773672602e-11,1.0599809276720621e-11,1.5191201238320118e-11,0.6169875690114058,0.8842406573275579,0.0,2.0972201672637283,0.5342918920201782,-1.56292827524355,0.7852578163146973,0.9401645660400391,1453,72,13,324.0,61.57894736842105
seed1005-epoch36-89.mat,10,10,10,896 875 894 878 899 876 895 877 897 898,0.412255844482427,7.261433539881772e-10,6.025598216025384e-10,6.078562629084086e-10,0.8298083543602178,0.837102287819473,0.0,0.8102218482030423,0.7722145949440886,-0.03800725325895371,0.9070520997047424,0.9110680818557739,896,44,16,198.0,75.78947368421052
seed1005-epoch38-56.mat,10,10,10,733 754 752 735 732 488 755 508 734 753,0.6379263596442598,3.9313976793972206e-09,1.7089456292900128e-09,2.3316753699515986e-09,0.43469162080597146,0.5930906919365891,0.0,3.6181871690099996,2.268788842235736,-1.3493983267742635,0.6593078970909119,0.7700972557067871,734,36,14,162.0,66.3157894736842
seed1005-epoch38-76.mat,10,10,10,1455 1477 1475 1459 1454 1456 1476 1478 1457 1458,0.2921876550508352,1.0655410084258964e-09,7.346607584853236e-10,9.748953753432634e-10,0.6894720641213276,0.9149299441637239,0.0,1.6148330742387316,0.3861215463337686,-1.228711527904963,0.8302564024925232,0.9563609957695007,1455,72,15,324.0,71.05263157894737
seed1005-epoch38-96.mat,10,10,10,1146 1106 1125 1147 1166 1145 1127 1086 1105 1126,0.43003564710360137,6.312845334992567e-09,4.727995574616368e-09,5.146881359173601e-09,0.7489484255869124,0.8153029396497421,0.0,1.2554808554080523,0.8868099022596851,-0.3686709531483672,0.8651894330978394,0.9028118848800659,1146,57,6,256.5,28.421052631578945
seed1005-epoch60-93.mat,10,10,10,1246 854 1225 853 1286 1206 1265 1226 1245 1266,0.6827855270570317,5.390165095495392e-11,2.3619876725800663e-11,2.940889076230869e-11,0.43820321469448126,0.5456027828699711,0.0,3.583234077812932,2.631227521813358,-0.9520065559995743,0.6442346572875977,0.730618953704834,1246,62,6,279.0,28.421052631578945
seed1005-epoch61-93.mat,10,10,10,611 195 192 690 672 692 193 671 691 194,0.5363880167713146,1.0470229671646323e-10,6.7898309937907075e-12,7.530094751731345e-11,0.06484892124360711,0.7191909812755163,0.0,11.880912625602349,1.4315560538047691,-10.44935657179758,0.24552619457244873,0.8439716100692749,691,34,11,153.0,52.10526315789473
seed1080-epoch11-31.mat,10,10,10,1015 995 1019 999 1016 996 997 1017 1018 998,0.7218073802444511,2.8146461645076765e-08,3.482829338189052e-09,1.3856726904041234e-08,0.1237395087918005,0.4923079525509375,0.0,9.074916014029398,3.0776314715545965,-5.997284542474802,0.34634941816329956,0.6920938491821289,997,49,17,220.5,80.52631578947367
seed1080-epoch36-52.mat,10,10,10,1029 1050 1010 1009 1031 1069 1070 1051 1049 1030,0.3767246042500551,1.6243734840033604e-09,1.062846603033251e-09,1.4221086651988856e-09,0.6543117167942224,0.8754813343135953,0.0,1.842152885726236,0.5775310504804594,-1.2646218352457765,0.7885112762451172,0.9263255000114441,1029,51,9,229.5,42.63157894736842
seed1080-epoch38-1.mat,10,10,10,1353 1333 1351 1373 1335 1355 1352 1332 1334 1354,0.1542625373345042,1.9494764354373243e-09,1.566199897961454e-09,1.9035086000434515e-09,0.8033951421475426,0.9764204200890683,0.0,0.9507079317318414,0.103631461285147,-0.8470764704466944,0.8961914777755737,0.9880298376083374,1353,67,13,301.5,61.57894736842105
seed1080-epoch60-47.mat,10,10,10,1474 39 1453 1455 1472 1476 1473 1454 1475 38,0.5526092076598849,4.100521961007951e-09,2.0733034505840844e-09,2.8488913362835534e-09,0.50561939926166,0.6947630968383514,0.0,2.9617626133455133,1.581632530230209,-1.3801300831153043,0.7096748352050781,0.8334406614303589,1474,73,14,328.5,66.3157894736842
seed1158-epoch2-58.mat,10,10,10,1512 1472 1491 1513 1494 1473 1492 1471 1511 1493,0.5629437227707235,3.801488328740362e-11,1.7322066670105653e-11,2.5987477095088253e-11,0.45566539134543094,0.6836132284983052,0.0,3.413525909219885,1.6518901316797638,-1.7616357775401212,0.6708199381828308,0.826495349407196,1492,74,12,333.0,56.84210526315789
seed1158-epoch2-89.mat,10,10,10,1107 1086 984 1087 1047 1088 1066 1315 1314 1067,0.514172067399785,1.3233895752685005e-09,6.394023544180838e-10,9.81837185672465e-10,0.4831550484960987,0.7419109263221009,0.0,3.1591344304468265,1.2964822148408643,-1.8626522156059622,0.6914269924163818,0.8576872944831848,1087,54,7,243.0,33.1578947368421
seed1158-epoch45-40.mat,10,10,10,829 810 828 849 831 789 830 850 808 809,0.279450735121889,2.123784361971146e-09,1.6635124488099474e-09,1.9593723977999684e-09,0.7832774732675747,0.9225853777270578,0.0,1.060843577474003,0.34993431192842195,-0.7109092655455811,0.884547233581543,0.9601598978042603,829,41,9,184.5,42.63157894736842
seed1158-epoch71-40.mat,10,10,10,771 750 791 749 770 751 534 772 553 1264,0.7881535798883119,3.9438030128468385e-10,9.362160025704388e-11,1.572290829361677e-10,0.23738913924471858,0.3986737735733705,0.0,6.245388005075,3.993821670067433,-2.251566335007567,0.4622284173965454,0.6154788136482239,750,37,10,166.5,47.368421052631575
seed1158-epoch72-98.mat,10,10,10,811 830 791 851 812 850 790 831 832 810,0.18888212087016906,1.2962497904009737e-08,1.066918809311285e-08,1.2503496236447592e-08,0.8230811817383215,0.9645900295636568,0.0,0.845573268352382,0.15657231331020682,-0.6890009550421752,0.9070855379104614,0.9819997549057007,811,40,11,180.0,52.10526315789473
seed1187-epoch15-47.mat,10,10,10,188 57 207 228 168 59 208 167 187 58,0.2986861575338906,8.982137115686065e-10,6.108809948845709e-10,8.217364186896811e-10,0.6801065125333607,0.9148562397857761,0.0,1.6742304369410874,0.3864714096691131,-1.2877590272719743,0.8128812909126282,0.9543516039848328,188,9,8,40.5,37.89473684210526
seed1187-epoch15-55.mat,10,10,10,251 273 271 232 253 250 270 252 231 272,0.13146672636208545,2.3693995089458404e-10,1.9674688107358443e-10,2.3284854850096234e-10,0.8303660076350664,0.9827323236196585,0.0,0.8073040022862443,0.07564755860335026,-0.7316564436828941,0.9107063412666321,0.9913206100463867,251,12,11,54.0,52.10526315789473
seed1187-epoch16-10.mat,10,10,10,1579 135 1557 1576 1559 858 1577 859 1558 1578,0.5938739310550006,4.4854612036638245e-12,1.5230195675657787e-12,2.9064350145973595e-12,0.3395458122169784,0.6479679307499793,0.0,4.69082789269055,1.8844122761895505,-2.806415616500999,0.5744540691375732,0.8045582175254822,1579,78,19,351.0,90.0
seed1187-epoch16-69.mat,10,10,10,845 847 846 867 885 827 826 825 866 865,0.31084682470978026,8.362583416442802e-09,3.2395766695741653e-09,7.562827481780339e-09,0.387389459482628,0.904364967757457,0.0,4.118521920042284,0.4365626864823611,-3.6819592335599225,0.6199184656143188,0.9504600167274475,846,42,6,189.0,28.421052631578945
seed119-epoch19-82.mat,10,10,10,934 672 915 652 938 914 933 936 935 937,0.30027641066486344,1.3718068356082889e-09,7.240414079292125e-10,1.252381824480154e-09,0.5278012830488316,0.9129432744988625,0.0,2.775295300510777,0.39556203387073197,-2.379733266640045,0.7058097720146179,0.9538521766662598,934,46,14,207.0,66.3157894736842
seed119-epoch20-79.mat,10,10,10,1575 1551 1579 1531 1552 1573 1574 1577 1576 1578,0.3640534598831717,2.906226160584583e-09,1.3610924377557056e-09,2.5227374161441853e-09,0.46833672348538896,0.8680458012382424,0.0,3.2944176977272406,0.6145735699859642,-2.6798441277412763,0.6839399337768555,0.9313779473304749,1575,78,15,351.0,71.05263157894737
seed119-epoch20-8.mat,10,10,10,1095 1075 1094 1077 1074 1099 1096 1076 1097 1098,0.3297306365839656,2.604376055968303e-09,1.9143533868036386e-09,2.3217758458697447e-09,0.7350525982669138,0.8914902441024447,0.0,1.3368157691907498,0.49883403073231136,-0.8379817384584385,0.8572120070457458,0.9440751671791077,1095,54,15,243.0,71.05263157894737
seed119-epoch45-23.mat,10,10,10,1565 1586 1525 25 1546 6 1585 1566 5 1545,0.23175723682759303,5.1664539147405526e-08,3.9340618631935e-08,4.890127542614181e-08,0.761462683712153,0.9465152739797065,0.0,1.1835137460563772,0.23872373357301058,-0.9447900124833666,0.8725517988204956,0.9727736711502075,1565,78,5,351.0,23.684210526315788
seed119-epoch45-5.mat,10,10,10,795 815 38 794 816 797 799 39 796 798,0.1569809624163748,7.218855640326287e-09,6.630613530188311e-09,7.041986805254219e-09,0.9185131079707548,0.9754990480646218,0.0,0.3691464102504938,0.10773149922034975,-0.261414911030144,0.9582881331443787,0.987601637840271,795,39,15,175.5,71.05263157894737
seed119-epoch71-45.mat,10,10,10,112 672 133 92 691 111 131 114 132 113,0.2804179806733761,9.64387334497431e-10,6.230161596452269e-10,8.888766657375538e-10,0.6460227518125774,0.9217008912718375,0.0,1.8975216195410667,0.3540998872761918,-1.543421732264875,0.7972932457923889,0.9598780870437622,112,5,12,22.5,56.84210526315789
seed1226-epoch23-32.mat,10,10,10,178 135 156 134 175 155 176 157 177 179,0.2366268962634074,2.879574173846231e-10,1.61132255274444e-10,2.7241562279540343e-10,0.5595697333929779,0.9460274552731504,0.0,2.5214566542232575,0.2409625087045839,-2.2804941455186736,0.7465205788612366,0.9716007113456726,177,8,17,36.0,80.52631578947367
seed1226-epoch23-35.mat,10,10,10,1591 1594 1572 1590 1596 11 1571 1592 1595 1593,0.3436104955326544,3.764897669516053e-09,2.4630801747654e-09,3.322907107037747e-09,0.6542223430688912,0.882602237490529,0.0,1.8427462179103742,0.542349743703781,-1.3003964742065932,0.8036296963691711,0.9391124248504639,1591,79,11,355.5,52.10526315789473
seed1226-epoch25-33.mat,10,10,10,1393 1374 1413 1372 1392 1396 1375 1394 1395 1373,0.391627786591619,2.6265869321454876e-09,1.7879723340268122e-09,2.2514652721720684e-09,0.6807207909796209,0.8571828499630101,0.0,1.670309769570153,0.6692652391050871,-1.001044530465066,0.8188619613647461,0.9201238751411438,1393,69,13,310.5,61.57894736842105
seed1226-epoch54-57.mat,10,10,10,1228 1227 1229 1188 1248 1249 1247 1209 1207 1208,0.4207778187488055,1.2274196318621572e-08,9.899389462736068e-09,1.0103374183231573e-08,0.8065203786676762,0.8231393665997849,0.0,0.9338465379805285,0.8452662694233339,-0.08858026855719459,0.8979427218437195,0.9071640372276306,1228,61,8,274.5,37.89473684210526
